"","run_accession","library_name","Collection_Date","lib"
"2910","ERR13105039","SARS-CoV-2 ARTIC V4",2022-03-31,"v4"
"2937","ERR13105493","SARS-CoV-2 ARTIC V4",2022-04-17,"v4"
"2954","ERR13105523","SARS-CoV-2 ARTIC V4",2022-04-14,"v4"
"2980","ERR13105647","SARS-CoV-2 ARTIC V4",2022-04-23,"v4"
"2996","ERR13105687","SARS-CoV-2 ARTIC V4",2022-04-21,"v4"
"3006","ERR13106168","SARS-CoV-2 ARTIC V4",2022-05-01,"v4"
"3011","ERR13106172","SARS-CoV-2 ARTIC V4",2022-05-02,"v4"
"3016","ERR13106185","SARS-CoV-2 ARTIC V3",2021-11-11,"v3"
"3030","ERR13106220","SARS-CoV-2 ARTIC V4",2022-01-11,"v4"
"3066","ERR13106266","SARS-CoV-2 ARTIC V3",2021-11-01,"v3"
"3068","ERR13106271","SARS-CoV-2 ARTIC V3",2021-11-06,"v3"
"3070","ERR13106275","SARS-CoV-2 ARTIC V3",2021-11-03,"v3"
"3071","ERR13106276","SARS-CoV-2 ARTIC V3",2021-11-04,"v3"
"3073","ERR13106278","SARS-CoV-2 ARTIC V3",2021-11-13,"v3"
"3075","ERR13106279","SARS-CoV-2 ARTIC V3",2021-11-14,"v3"
"3080","ERR13106288","SARS-CoV-2 ARTIC V4",2022-01-17,"v4"
"3093","ERR13106329","SARS-CoV-2 ARTIC V4",2022-01-21,"v4"
"3111","ERR13106377","SARS-CoV-2 ARTIC V4",2022-01-14,"v4"
"3123","ERR13106383","SARS-CoV-2 ARTIC V4",2022-01-15,"v4"
"3136","ERR13106389","SARS-CoV-2 ARTIC V4",2022-01-16,"v4"
"3151","ERR13106418","SARS-CoV-2 ARTIC V4",2022-01-24,"v4"
"3162","ERR13107137","SARS-CoV-2 ARTIC V4",2022-01-25,"v4"
"3185","ERR13107165","SARS-CoV-2 ARTIC V4",2022-02-02,"v4"
"3206","ERR13107215","SARS-CoV-2 ARTIC V4",2022-02-06,"v4"
"3220","ERR13107469","SARS-CoV-2 ARTIC V4",2022-02-08,"v4"
"3240","ERR13108592","SARS-CoV-2 ARTIC V4",2022-02-19,"v4"
"3245","ERR13108599","SARS-CoV-2 ARTIC V4",2022-02-20,"v4"
"3442","ERR12832277","SARS-CoV-2 ARTIC V4.1",2022-07-22,"-"
"3502","ERR12832339","SARS-CoV-2 ARTIC V4.1",2022-06-30,"-"
"3539","ERR12832559","SARS-CoV-2 ARTIC V4.1",2022-07-10,"-"
"3718","ERR12833802","SARS-CoV-2 ARTIC V4.1",2022-07-03,"-"
"4302","ERR12861311","SARS-CoV-2 ARTIC V4.1",2022-06-24,"-"
