"","Run","library_name","Collection_Date","lib"
"14","ERR12397868","SARS-CoV-2 ARTIC V3",2021-12-14,"v3"
"15","ERR12397869","SARS-CoV-2 ARTIC V4",2021-12-15,"v4"
"16","ERR12397870","SARS-CoV-2 ARTIC V4",2021-12-16,"v4"
"17","ERR12397871","SARS-CoV-2 ARTIC V4",2021-12-17,"v4"
"18","ERR12397872","SARS-CoV-2 ARTIC V4",2021-12-18,"v4"
"19","ERR12397873","SARS-CoV-2 ARTIC V4",2021-12-19,"v4"
"20","ERR12397874","SARS-CoV-2 ARTIC V4",2021-12-20,"v4"
"21","ERR12397875","SARS-CoV-2 ARTIC V4",2021-12-21,"v4"
"22","ERR12397876","SARS-CoV-2 ARTIC V4",2021-12-22,"v4"
"23","ERR12397877","SARS-CoV-2 ARTIC V4",2021-12-23,"v4"
"24","ERR12397878","SARS-CoV-2 ARTIC V4",2021-12-24,"v4"
"25","ERR12397879","SARS-CoV-2 ARTIC V4",2021-12-25,"v4"
"26","ERR12397880","SARS-CoV-2 ARTIC V4",2021-12-26,"v4"
"27","ERR12397881","SARS-CoV-2 ARTIC V3",2021-12-27,"v3"
"28","ERR12397882","SARS-CoV-2 ARTIC V3",2021-12-28,"v3"
"29","ERR12397883","SARS-CoV-2 ARTIC V3",2021-12-29,"v3"
"30","ERR12397884","SARS-CoV-2 ARTIC V3",2021-12-30,"v3"
"31","ERR12397885","SARS-CoV-2 ARTIC V3",2021-12-31,"v3"
"32","ERR12397886","SARS-CoV-2 ARTIC V3",2022-01-01,"v3"
"33","ERR12397887","SARS-CoV-2 ARTIC V3",2022-01-02,"v3"
"34","ERR12397888","SARS-CoV-2 ARTIC V3",2022-01-03,"v3"
"35","ERR12397889","SARS-CoV-2 ARTIC V3",2022-01-04,"v3"
"36","ERR12397890","SARS-CoV-2 ARTIC V4",2022-01-05,"v4"
"37","ERR12397891","SARS-CoV-2 ARTIC V4",2022-01-06,"v4"
"38","ERR12397892","SARS-CoV-2 ARTIC V4",2022-01-07,"v4"
"39","ERR12397893","SARS-CoV-2 ARTIC V4",2022-01-08,"v4"
"40","ERR12397894","SARS-CoV-2 ARTIC V4",2022-01-09,"v4"
"41","ERR12397895","SARS-CoV-2 ARTIC V4",2022-01-10,"v4"
"42","ERR13106221","SARS-CoV-2 ARTIC V4",2022-01-11,"v4"
"43","ERR13106294","SARS-CoV-2 ARTIC V4",2022-01-12,"v4"
"44","ERR13106299","SARS-CoV-2 ARTIC V4",2022-01-13,"v4"
"45","ERR13106320","SARS-CoV-2 ARTIC V4",2022-01-14,"v4"
"46","ERR13106325","SARS-CoV-2 ARTIC V4",2022-01-15,"v4"
"48","ERR13106379","SARS-CoV-2 ARTIC V4",2022-01-16,"v4"
"49","ERR13106385","SARS-CoV-2 ARTIC V4",2022-01-17,"v4"
"50","ERR13106391","SARS-CoV-2 ARTIC V4",2022-01-18,"v4"
"53","ERR13107138","SARS-CoV-2 ARTIC V4",2022-01-19,"v4"
"54","ERR13107146","SARS-CoV-2 ARTIC V4",2022-01-20,"v4"
"55","ERR13107151","SARS-CoV-2 ARTIC V4",2022-01-21,"v4"
"56","ERR13107159","SARS-CoV-2 ARTIC V4",2022-01-22,"v4"
"47","ERR13106331","SARS-CoV-2 ARTIC V4",2022-01-23,"v4"
"51","ERR13106407","SARS-CoV-2 ARTIC V4",2022-01-24,"v4"
"52","ERR13106415","SARS-CoV-2 ARTIC V4",2022-01-25,"v4"
